t,phase,rms,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
0.247,A,0.002072,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,6,0,8,0,4,16,0,0
0.247,A,0.001582,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,6,0,8,0,4,16,0,0
0.276,A,0.001597,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,254,255,254,255,1,0,3,16,0,0
0.291,A,0.001583,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,254,255,0,0,0,0,252,15,0,0
0.322,A,0.001542,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,250,255,18,0,0,16,0,0
0.338,A,0.001819,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,249,255,6,0,11,16,0,0
0.353,A,0.001547,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,16,0,0
0.369,A,0.001473,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254,255,0,0,6,0,248,15,0,0
0.399,A,0.001503,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,254,255,255,255,10,0,253,15,0,0
0.415,A,0.001664,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,254,255,246,255,5,0,248,15,0,0
0.431,A,0.001575,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,251,255,255,255,1,16,0,0
0.462,A,0.001267,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0,6,0,10,0,7,16,0,0
0.477,A,0.0017,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,253,255,5,0,5,0,2,16,0,0
0.494,A,0.002025,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,252,255,8,0,255,15,0,0
0.509,A,0.001925,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,254,255,14,0,7,16,0,0
0.539,A,0.00163,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,2,0,4,0,5,16,0,0
0.555,A,0.001537,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,247,255,3,0,255,15,0,0
0.57,A,0.002006,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,11,0,9,0,253,15,0,0
0.602,A,0.001523,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,252,255,15,0,253,15,0,0
0.618,A,0.001844,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254,255,10,0,11,0,5,16,0,0
0.634,A,0.002034,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,0,0,6,0,8,0,248,15,0,0
0.649,A,0.002221,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,3,0,255,255,245,255,13,0,255,15,0,0
0.68,A,0.003218,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,11,0,0,16,0,0
0.695,A,0.001834,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,254,255,8,0,13,0,2,16,0,0
0.711,A,0.001999,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,255,255,4,0,12,0,251,15,0,0
0.742,A,0.002402,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,252,255,8,0,252,15,0,0
0.759,A,0.002049,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,3,0,254,255,6,0,6,0,4,16,0,0
0.774,A,0.001852,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,252,255,9,0,9,16,0,0
0.79,A,0.002234,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,250,255,3,0,253,15,0,0
0.821,A,0.001902,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,0,0,254,255,1,0,5,16,0,0
0.837,A,0.001675,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,253,255,252,255,3,0,248,15,0,0
0.852,A,0.0013,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,254,255,254,255,3,0,4,0,250,15,0,0
0.883,A,0.001278,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,7,0,253,255,3,16,0,0
0.883,A,0.001598,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,0,0,6,0,2,0,255,15,0,0
0.914,A,0.001326,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,4,0,14,0,254,15,0,0
0.929,A,0.001509,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,255,0,0,255,255,0,0,16,0,7,16,0,0
0.96,A,0.002325,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,247,255,17,0,247,15,0,0
0.976,A,0.002069,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,0,0,6,0,16,0,250,15,0,0
0.991,A,0.001374,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,255,255,1,0,18,0,253,15,0,0
1.022,A,0.0016,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,10,0,5,0,255,15,0,0
1.037,A,0.00119,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,254,255,251,255,3,0,3,16,0,0
1.054,A,0.001358,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,254,255,2,0,10,0,252,15,0,0
1.07,A,0.001347,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,254,255,2,0,253,255,1,16,0,0
1.1,A,0.001518,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,255,255,3,0,10,0,249,15,0,0
1.115,A,0.001659,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,14,0,2,16,0,0
1.131,A,0.001886,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,255,255,1,0,14,0,252,15,0,0
1.162,A,0.001748,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,253,255,5,0,3,0,9,16,0,0
