t,type,info,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
0.033,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,149,0,44,254,148,255,211,254,53,5,96,15,0,0
0.079,hid,"18,20,21,22,24,26,27,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,205,0,252,253,51,255,191,254,166,4,229,15,0,0
0.095,hid,"18,19,20,22,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,67,1,218,253,33,255,20,254,112,3,141,16,0,0
0.111,hid,"18,20,22,24,26,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,244,1,241,253,50,255,156,254,108,3,12,17,0,0
0.126,hid,"18,19,20,21,22,24,26,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,159,2,3,254,27,255,206,254,204,3,255,16,0,0
0.158,hid,"18,19,20,21,22,23,24,25,26,27,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,213,3,188,253,143,254,4,255,184,4,61,16,0,0
0.173,hid,"18,20,21,22,24,26,27,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,202,3,2,254,133,254,84,255,100,5,1,16,0,0
0.19,hid,"18,19,20,21,22,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,179,2,27,255,244,254,251,255,110,6,114,15,0,0
0.22,hid,"18,19,20,21,22,23,24,25,26,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,120,0,75,0,127,255,206,254,82,6,118,14,0,0
0.251,hid,"18,19,20,22,23,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,130,255,139,0,25,0,232,254,231,5,22,15,0,0
0.266,hid,"18,20,22,23,24,25,26,27,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,152,255,66,0,151,255,117,255,98,6,95,15,0,0
