t,rms
0.002,0.003091
0.033,0.00288
0.048,0.002741
0.079,0.003008
0.095,0.003081
0.111,0.002561
0.126,0.002693
0.158,0.003353
0.173,0.0033
0.19,0.003279
0.22,0.002943
0.221,0.002602
0.251,0.002472
0.266,0.002974
0.298,0.003121
0.313,0.003351
0.329,0.003387
0.36,0.003174
0.361,0.002986
0.391,0.003193
0.406,0.002829
0.438,0.002433
0.455,0.00274
0.47,0.003376
0.486,0.003355
0.518,0.002811
0.532,0.002813
0.548,0.002602
0.58,0.003008
0.595,0.00341
0.61,0.003033
0.625,0.003053
0.657,0.003275
0.673,0.003029
0.687,0.003148
0.719,0.00325
0.734,0.002873
0.75,0.003302
0.78,0.003263
0.781,0.003152
0.812,0.0034
0.827,0.002943
0.858,0.002447
0.874,0.00256
0.89,0.002806
0.92,0.003053
0.921,0.002675
0.952,0.002879
0.967,0.003248
0.998,0.003429
1.014,0.003532
1.029,0.003422
1.061,0.003129
1.061,0.003807
1.091,0.004011
1.106,0.003224
1.137,0.003236
1.152,0.003191
1.168,0.003006
1.199,0.003507
1.215,0.003285
1.231,0.003329
1.245,0.003329
1.276,0.003401
1.292,0.003266
1.307,0.003542
1.338,0.00338
1.354,0.003221
1.37,0.003715
1.402,0.003403
1.402,0.003333
1.433,0.003279
1.449,0.002915
1.48,0.002636
1.495,0.003236
1.511,0.002928
1.527,0.003407
1.557,0.00444
1.572,0.003544
1.588,0.003166
1.619,0.003234
1.636,0.002714
1.651,0.002976
1.668,0.00315
1.699,0.003052
1.715,0.003494
1.73,0.002832
1.746,0.002689
1.778,0.003073
1.793,0.002969
1.81,0.00346
1.841,0.003679
1.841,0.003436
1.872,0.002805
1.887,0.002876
1.917,0.002761
1.933,0.002913
1.949,0.002929
1.98,0.002707
1.996,0.002934
2.012,0.002707
2.027,0.002348
2.058,0.002364
2.073,0.002836
2.089,0.00341
2.12,0.002992
2.136,0.003179
2.151,0.002924
2.167,0.003271
2.198,0.002574
2.213,0.002831
2.228,0.003199
2.26,0.003517
2.276,0.004027
2.291,0.003754
2.307,0.003202
2.338,0.003024
2.354,0.002894
2.369,0.002916
2.399,0.002907
2.414,0.003032
2.43,0.003148
2.446,0.003155
2.477,0.003129
2.492,0.003602
2.508,0.0037
2.539,0.002936
2.554,0.003029
2.571,0.003383
2.586,0.004202
2.618,0.004063
2.633,0.003676
2.65,0.003417
2.68,0.003606
2.68,0.003292
2.711,0.003683
2.726,0.00393
2.757,0.003691
2.772,0.003643
2.788,0.003409
2.819,0.003833
2.835,0.003727
2.851,0.003245
2.867,0.003274
2.897,0.003143
2.914,0.002705
2.93,0.002815
2.961,0.003361
2.961,0.003055
2.992,0.003328
3.008,0.003605
3.038,0.003707
3.054,0.003632
3.07,0.003186
3.1,0.003331
3.116,0.003507
3.132,0.00366
3.147,0.003771
3.178,0.003437
3.194,0.003349
3.209,0.003269
3.24,0.003385
3.255,0.003791
3.271,0.003449
3.286,0.002967
3.318,0.003791
3.334,0.005957
3.349,0.005493
3.381,0.004655
3.381,0.007265
3.412,0.006792
3.427,0.006928
3.458,0.008424
3.474,0.005114
3.489,0.003546
3.521,0.00357
3.522,0.004721
3.552,0.005289
3.567,0.003732
3.598,0.003932
3.613,0.004086
3.63,0.003686
3.661,0.003745
3.661,0.00356
3.692,0.004404
3.707,0.004373
3.738,0.003511
3.753,0.003278
3.769,0.003089
3.799,0.003545
3.815,0.003858
3.83,0.003904
3.846,0.003927
3.877,0.003872
3.893,0.003475
3.909,0.003154
3.941,0.003492
3.941,0.003233
3.973,0.003276
3.989,0.003831
4.021,0.00422
4.021,0.004525
4.051,0.004829
4.067,0.004392
4.098,0.00534
4.113,0.005679
4.128,0.004688
4.161,0.006936
4.161,0.008251
4.191,0.006887
4.207,0.008662
4.239,0.005267
4.254,0.00375
4.269,0.003797
4.301,0.003783
4.301,0.005545
4.332,0.003501
4.347,0.003279
4.379,0.0038
4.395,0.003251
4.411,0.003033
4.426,0.002977
4.457,0.003536
4.472,0.005308
4.488,0.004652
4.519,0.003371
4.535,0.003115
4.551,0.003102
4.567,0.003044
4.598,0.003424
4.613,0.003647
4.63,0.003807
4.66,0.003736
4.66,0.00325
4.691,0.003325
4.707,0.002977
4.738,0.003107
4.753,0.003349
4.769,0.003271
4.8,0.003373
4.816,0.003576
4.831,0.00387
4.846,0.007831
4.876,0.009764
4.892,0.009705
4.907,0.013249
4.939,0.0099
4.955,0.007316
4.97,0.008556
4.985,0.008482
5.016,0.008159
5.032,0.007185
5.048,0.008122
