t,rms,lo,mid,hi,air,sig
0.034,0.001632,0.000884,0.00079,0.000306,0.000438,0
0.037,0.001605,0.00083,0.000715,0.000277,0.000416,0
0.065,0.001875,0.001365,0.000473,0.000316,0.000402,0
0.08,0.001912,0.001164,0.000514,0.000316,0.000423,0
0.111,0.001427,0.000794,0.000537,0.000312,0.000408,0
0.115,0.001742,0.000892,0.000665,0.000308,0.00044,0
0.142,0.001488,0.000707,0.00076,0.000345,0.000472,0
0.157,0.001637,0.001016,0.000629,0.000308,0.000407,0
0.188,0.001855,0.001114,0.000643,0.000319,0.000433,0
0.204,0.001508,0.000969,0.000508,0.000275,0.000365,0
0.219,0.002167,0.001235,0.000576,0.000326,0.000438,0
0.251,0.002029,0.001144,0.000586,0.000293,0.000393,0
0.254,0.001191,0.000637,0.000465,0.000291,0.000373,0
0.283,0.002064,0.001256,0.00052,0.000275,0.000371,0
0.299,0.001699,0.001088,0.000567,0.000307,0.000396,0
0.33,0.001109,0.000498,0.000494,0.000299,0.000383,0
0.346,0.001595,0.001009,0.000506,0.0003,0.000373,0
0.361,0.002169,0.001277,0.000526,0.00029,0.000365,0
0.377,0.002092,0.001119,0.000628,0.000272,0.000381,0
0.408,0.002227,0.001342,0.000517,0.000308,0.000403,0
0.422,0.001989,0.001029,0.000717,0.000301,0.000416,0
0.439,0.001637,0.00092,0.000683,0.000306,0.000421,0
0.468,0.001653,0.000834,0.000656,0.000292,0.000411,0
0.484,0.001588,0.000951,0.000609,0.000262,0.000379,0
0.499,0.001468,0.000737,0.000656,0.000293,0.000401,0
0.53,0.001704,0.000918,0.000638,0.000291,0.000394,0
0.546,0.001576,0.000779,0.000617,0.000291,0.000416,0
0.561,0.001947,0.001042,0.000571,0.000299,0.000409,0
0.577,0.001936,0.0011,0.000758,0.000287,0.000432,0
0.607,0.002086,0.001308,0.00066,0.000296,0.000426,0
0.623,0.001469,0.00078,0.00065,0.000289,0.000406,0
0.637,0.002393,0.001521,0.000818,0.000313,0.000465,0
0.668,0.001815,0.000908,0.000754,0.000288,0.000443,0
0.684,0.001823,0.001207,0.000592,0.000267,0.00036,0
0.699,0.001566,0.000771,0.000718,0.000292,0.000424,0
0.73,0.001282,0.000769,0.000528,0.000296,0.000396,0
0.746,0.001538,0.000835,0.00061,0.000306,0.000416,0
0.762,0.001512,0.000876,0.000559,0.000297,0.000404,0
0.777,0.00171,0.001111,0.000604,0.000273,0.000393,0
0.808,0.001931,0.001246,0.000673,0.00025,0.000377,0
0.824,0.001326,0.000831,0.000533,0.00027,0.000373,0
0.839,0.001496,0.000835,0.000611,0.000252,0.000367,0
0.872,0.001743,0.000919,0.000706,0.000289,0.000438,0
0.875,0.001654,0.000881,0.0007,0.00029,0.000415,0
0.903,0.001818,0.001065,0.000688,0.000278,0.000394,0
0.918,0.002033,0.001117,0.000827,0.000291,0.000456,0
0.949,0.001761,0.000989,0.000734,0.000278,0.000423,0
0.965,0.002401,0.001415,0.000879,0.000306,0.000485,0
0.979,0.001758,0.00078,0.000845,0.000309,0.000469,0
1.011,0.001559,0.000875,0.000696,0.000275,0.000407,0
1.014,0.00146,0.000856,0.000555,0.000271,0.000392,0
1.041,0.001367,0.000815,0.000501,0.000242,0.000342,0
1.057,0.00137,0.000737,0.000629,0.000269,0.000385,0
1.088,0.001974,0.001015,0.000714,0.000292,0.000432,0
1.103,0.001822,0.001057,0.000724,0.000337,0.000462,0
1.118,0.002243,0.001428,0.000838,0.000327,0.000488,0
1.149,0.001759,0.001096,0.000715,0.00027,0.000402,0
1.165,0.001667,0.000671,0.000774,0.00028,0.000416,0
1.179,0.002009,0.001005,0.000803,0.00036,0.0005,0
1.21,0.002045,0.001168,0.000726,0.000315,0.000441,0
1.226,0.001651,0.000991,0.000591,0.000289,0.000393,0
1.242,0.00168,0.001053,0.00058,0.000293,0.000389,0
1.258,0.001565,0.000749,0.00071,0.000301,0.000413,0
1.288,0.001965,0.001061,0.000698,0.000342,0.000461,0
1.304,0.001941,0.001179,0.000518,0.000281,0.000389,0
1.32,0.002067,0.001448,0.00051,0.000293,0.000378,0
1.351,0.001485,0.000878,0.000503,0.000301,0.000396,0
1.354,0.002142,0.001413,0.000568,0.000295,0.000391,0
1.382,0.001615,0.001046,0.000468,0.000298,0.000394,0
1.397,0.001876,0.001244,0.000581,0.000286,0.000392,0
