t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
0.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
