t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.511,0.0,0.00221,0.0,0.0,0.0,0.1512,0.0,0.00414,0,11,1.768
0.531,0.0028,0.0,0.0,0.0,0.1053,0.0,0.00585,0.0,19,2,2.417
0.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2.362
0.571,0.00655,0.00451,1.0,1.0,0.0334,0.0344,0.01279,0.0074,144,140,2.32
0.591,0.00512,0.00631,0.0,1.0,0.0501,0.048,0.00868,0.01091,68,236,2.28
0.611,0.00566,0.00545,0.0,0.0,0.0219,0.0177,0.00881,0.0091,45,96,2.851
0.632,0.00752,0.00762,1.0,1.0,0.0344,0.0261,0.0114,0.01126,185,231,2.79
0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,91,2.719
0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,2.652
0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2.587
0.711,0.0,0.00386,0.0,0.0,0.0,0.0761,0.0,0.00439,0,26,3.111
0.731,0.0,0.00429,0.0,0.0,0.0,0.0751,0.0,0.00667,0,38,3.555
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,3.454
0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.358
0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.266
0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.177
0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.092
0.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.01
0.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.931
0.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.855
0.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.782
0.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.712
0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.645
0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.581
0.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.519
1.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.459
1.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.402
1.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.347
1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.294
1.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.243
1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.195
1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.148
1.151,0.0,0.00117,0.0,0.0,0.0,0.1053,0.0,0.00412,0,13,2.739
1.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2.671
1.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.606
1.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.543
1.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.482
1.251,0.00485,0.00659,0.574,0.96,0.0198,0.0115,0.00796,0.0107,140,140,2.437
1.271,0.00445,0.00545,0.0,0.0,0.0542,0.0772,0.00918,0.01136,70,81,2.984
1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,2.907
1.311,0.00405,0.0,0.0,0.0,0.0396,0.0,0.00824,0.0,38,3,3.381
1.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,3.288
1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3.198
1.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.112
1.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.029
1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.95
1.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.873
1.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8
1.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.729
1.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.661
1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.596
1.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.534
1.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.474
1.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.416
1.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.36
1.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.307
1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.256
1.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.206
1.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.159
1.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.114
1.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.07
1.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.028
1.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.988
1.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.949
1.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.912
1.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.876
1.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.842
1.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.809
1.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.777
1.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.747
1.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.717
1.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.689
1.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.662
1.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.636
1.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.611
