t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
0.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
